Field "Less scattered" "Good WCS" "Failed Mask" "Poor WCS" "Failed WCS" tot fr na
FJ1304 4 8 0 0 0 8 0.5 F
FJ1606 8 12 0 0 0 12 0.67 F
FC0107 4 8 0 0 0 8 0.5 F
FB0209 4 8 0 0 0 8 0.5 F
FK2804 4 8 0 0 0 8 0.5 F
FI2902 4 8 0 0 0 8 0.5 F
FA0202 4 8 0 0 0 8 0.5 F
FD1901 4 16 0 0 0 16 0.25 F
FJ2205 5 9 0 0 0 9 0.56 F
FB1301 4 12 4 0 0 16 0.25 F
FE1002 5 17 0 0 0 17 0.29 F
FL0501 4 16 0 0 0 16 0.25 F
FL1001 4 20 0 0 0 20 0.2 F
FK2506 4 12 0 0 0 12 0.33 F
FK0803 8 16 0 0 0 16 0.5 F
FF2001 8 16 4 0 0 20 0.4 F
FC1302 4 24 0 0 0 24 0.17 F
FE0602 4 21 0 0 0 21 0.19 F
FB2402 16 28 0 0 0 28 0.57 F
FC1602 4 20 4 0 0 24 0.17 F
FC1104 4 8 0 0 0 8 0.5 F
FC2201 4 8 0 0 0 8 0.5 F
FC0408 4 8 0 0 0 8 0.5 F
FE1004 12 16 0 0 0 16 0.75 F
FK0205 8 12 0 0 0 12 0.67 F
FL1804 8 12 0 0 0 12 0.67 F
FC1004 4 16 0 0 0 16 0.25 F
FF0303 12 16 0 0 0 16 0.75 F
U29109 12 20 0 0 0 20 0.6 U
FD1902 5 9 4 0 0 13 0.38 F
FB1002 4 8 0 0 0 8 0.5 F
FD1001 4 8 0 0 0 8 0.5 F
FD0701 9 17 0 0 0 17 0.53 F
FE2501 8 22 0 0 0 22 0.36 F
FK2901 12 16 0 0 0 16 0.75 F
FK2504 4 20 0 0 0 20 0.2 F
FA3002 8 20 4 0 0 24 0.33 F
FE1403 7 12 0 0 0 12 0.58 F
FD0801 4 16 0 0 0 16 0.25 F
FA3101 4 15 4 0 1 20 0.2 F
FJ2805 5 9 0 0 0 9 0.56 F
FL3002 5 19 0 0 0 19 0.26 F
FB0403 9 17 0 0 0 17 0.53 F
FK1904 4 12 0 0 0 12 0.33 F
U5RV25 4 8 0 0 0 8 0.5 U
FD1302 4 12 0 0 0 12 0.33 F
FF2301 9 21 0 0 0 21 0.43 F
FI1708 12 16 0 0 0 16 0.75 F
FC2002 8 12 4 0 0 16 0.5 F
FJ1801 4 16 0 0 0 16 0.25 F
U00006 18 32 8 0 0 40 0.45 U
FF1401 4 20 5 0 0 25 0.16 F
FI1610 4 8 0 0 0 8 0.5 F
FK1303 20 36 0 0 0 36 0.56 F
